,movie_name,movie_data,movie_scores,movie_type,movie_lang,movie_len
0,蝙蝠侠：骑士陨落 第一部：骑士陨落,2026-08-25,92,"动画,动作,冒险,科幻",英语,79
1,安昂传奇：最后的气宗,2026-07-24,91,"动画,冒险,奇幻,动作",英语,99
2,奇幻变身大冒险,2026-05-01,89,"冒险,动画,家庭,奇幻",英语,102
3,不期而遇的姐妹,2026-03-12,88,"喜剧,爱情",西班牙语,85
4,鬼灭之刃：无限城篇 第一章 猗窝座再袭,2025-11-14,88,"动画,动作,奇幻",日语,155
5,夜巡毒枭,2026-08-21,88,"犯罪,动作,惊悚",西班牙语,91
6,肖申克的救赎,2026-08-28,87,"剧情,犯罪",英语,142
7,教父,1972-03-24,87,"剧情,犯罪",英语,175
8,挽救计划,2026-03-20,86,"科幻,冒险",英语,156
9,迈克尔·杰克逊：巨星之路,2026-04-24,86,"音乐,剧情",英语,136
10,年轻的心,2024-12-18,86,"剧情,爱情",荷兰语,97
11,教父2,1974-12-20,86,"剧情,犯罪",英语,200
12,十二怒汉,1957-04-10,86,剧情,英语,96
13,辛德勒的名单,2019-04-06,86,"剧情,历史,战争",英语,195
14,电锯人剧场版：蕾塞篇,2025-09-19,86,"动画,动作,爱情,奇幻",日语,100
15,蝙蝠侠：黑暗骑士,2018-04-07,85,"动作,惊悚,犯罪",英语,152
16,千与千寻,2019-06-21,85,"动画,家庭,奇幻",日语,125
17,绿里奇迹,1999-12-10,85,"奇幻,剧情,犯罪",英语,189
18,指环王3：王者无敌,2004-03-15,85,"冒险,奇幻,动作",英语,263
19,勇夺芳心,1995-10-20,85,"喜剧,剧情,爱情",印地语,190
20,寄生虫,2019-07-28,85,"喜剧,惊悚,剧情",朝鲜语,132
21,星际穿越,2014-11-12,85,"冒险,剧情,科幻",英语,169
22,你的名字。,2016-12-02,85,"动画,爱情,剧情",日语,106
23,低俗小说,2024-04-18,85,"惊悚,犯罪,喜剧",英语,154
24,黄金三镖客,2018-04-16,85,西部,意大利语,161
25,切腹,1962-09-15,85,"动作,剧情,历史",unkonwn,135
